customer_id,account_number,first_name,last_name,email,phone,aadhaar,pan,date_of_birth,address,city,state,pin_code,country,occupation,annual_income,marital_status,education,credit_score,account_balance,credit_default,housing_loan,personal_loan,kyc_status,account_type,account_opened_date,last_transaction_date
IND000001,8479902459,Rajesh,Patel,rajesh.patel251@gmail.com,+917958682846,3286 2679 9935,CSNBA2535G,1988-08-26,"H.No. 433, Shan Street",Mumbai,Telangana,629903,India,"Civil engineer, consulting",522599,Married,Professional,764,181462.65,no,yes,yes,PENDING,CURRENT,2025-05-31,2026-01-25
IND000002,2445662585,Vikram,Kumar,vikram.kumar95@gmail.com,+918631775357,2584 6881 6635,TIZBX8527R,1985-04-27,"H.No. 013
Krishnan Ganj",Hyderabad,Delhi,496922,India,Town planner,961023,Divorced,Professional,735,556219.75,yes,yes,yes,VERIFIED,SAVINGS,2016-08-02,2026-02-17
IND000003,6927597015,Deepika,Singh,deepika.singh465@gmail.com,+919730243887,6977 3664 7065,LGVIW2169T,1958-09-02,"794
Sibal Nagar",Delhi,Karnataka,660086,India,"Designer, jewellery",2353622,Married,Post Graduate,744,233445.22,yes,no,yes,VERIFIED,SAVINGS,2023-04-30,2026-02-06
IND000004,2149938334,Sanjay,Gupta,sanjay.gupta217@gmail.com,+919436019774,6155 4483 9179,MUOEI3287H,1964-01-18,"511, Bava Marg",Kolkata,Uttar Pradesh,665158,India,Mechanical engineer,2504036,Widowed,Professional,754,330096.27,yes,no,yes,VERIFIED,SAVINGS,2021-12-27,2026-02-19
IND000005,5567816720,Amit,Nair,amit.nair391@gmail.com,+919559321289,8668 9669 5119,RAVXD9797Y,1963-02-20,"78/161, Din Circle",Bangalore,Tamil Nadu,905934,India,Water engineer,3153598,Single,Graduate,772,116065.64,yes,no,yes,VERIFIED,SALARY,2022-04-16,2026-02-18
IND000006,3615507143,Vikram,Agarwal,vikram.agarwal157@gmail.com,+918605947756,3646 9837 9689,ATKPA2832L,1958-03-23,"H.No. 341, Verma Ganj",Jaipur,Tamil Nadu,351083,India,Chiropractor,785911,Married,Professional,590,39936.12,no,yes,yes,VERIFIED,SALARY,2022-08-09,2026-02-03
IND000007,6633778586,Pooja,Joshi,pooja.joshi688@gmail.com,+919791205006,7118 8177 9479,ODHHC6539A,1975-12-29,"553
Sarna Road",Bangalore,Uttar Pradesh,341292,India,Building surveyor,2147317,Single,10th,873,11817.46,yes,yes,no,VERIFIED,SALARY,2019-01-18,2026-02-15
IND000008,3030106617,Sneha,Reddy,sneha.reddy804@gmail.com,+919031403296,7669 4119 2545,DVNLN7735O,1994-10-03,"764, Choudhary Circle",Ahmedabad,Maharashtra,806073,India,"Journalist, broadcasting",1125588,Single,Post Graduate,723,790622.14,yes,yes,yes,VERIFIED,SALARY,2017-02-01,2026-02-01
IND000009,6083042422,Pooja,Kumar,pooja.kumar474@gmail.com,+918072910527,2235 8260 2604,BURAC4872F,2001-01-23,"H.No. 64, Cherian Zila",Kolkata,West Bengal,609231,India,Tax adviser,4337927,Married,Post Graduate,580,122868.98,yes,no,no,PENDING,CURRENT,2021-06-28,2026-01-31
IND000010,3090237817,Rohan,Rao,rohan.rao195@gmail.com,+918274350418,4566 1958 9883,BXKBB8811Q,1989-09-28,"72
Boase Road",Jaipur,Uttar Pradesh,265080,India,Fine artist,777140,Single,12th,585,574786.86,yes,no,yes,VERIFIED,SALARY,2025-09-08,2026-02-16
IND000011,5647083348,Neha,Sharma,neha.sharma674@gmail.com,+919506853388,9565 6183 5272,GVWKH5351M,1963-01-07,"65/32
Koshy Circle",Lucknow,Karnataka,804318,India,"Chemist, analytical",2816557,Widowed,Graduate,587,-40218.77,yes,yes,yes,VERIFIED,SAVINGS,2016-12-08,2026-01-26
IND000012,4776436931,Anil,Gupta,anil.gupta379@gmail.com,+918224011538,3584 8179 9900,WJTZU9666A,1955-07-16,"69/166, Kaur",Delhi,Uttar Pradesh,413921,India,Seismic interpreter,1168946,Married,Graduate,609,884198.34,yes,no,no,VERIFIED,SALARY,2020-05-31,2026-02-16
IND000013,7465682673,Anjali,Singh,anjali.singh258@gmail.com,+917218179599,2512 7939 5533,BAKYE5291F,2003-09-18,"18/451, Kalla Road",Chennai,Rajasthan,678478,India,"Designer, industrial/product",3887697,Single,10th,588,942303.49,yes,yes,no,VERIFIED,CURRENT,2023-11-09,2026-01-21
IND000014,2536778950,Amit,Sharma,amit.sharma699@gmail.com,+918071722055,2684 6794 7658,TXEHF3900N,1994-04-11,"28/14
Ramanathan Circle",Chennai,Maharashtra,288073,India,"Engineer, civil (contracting)",3086573,Widowed,12th,686,117157.74,yes,no,yes,PENDING,SAVINGS,2018-09-26,2026-02-08
IND000015,6796738787,Sneha,Agarwal,sneha.agarwal841@gmail.com,+917977515194,4652 1387 4164,MKICY5573L,1997-01-10,"80/95, Andra Chowk",Ahmedabad,Uttar Pradesh,519093,India,Clinical research associate,4798103,Divorced,10th,609,870890.33,no,yes,no,VERIFIED,SAVINGS,2022-04-24,2026-02-04
IND000016,6642201119,Neha,Verma,neha.verma621@gmail.com,+919196545325,2894 7311 4114,IBWNA9518Z,1961-06-07,"911, Tandon Chowk",Pune,Uttar Pradesh,820221,India,Broadcast presenter,1952850,Divorced,Post Graduate,585,946318.21,no,no,yes,VERIFIED,SALARY,2025-03-14,2026-01-27
IND000017,6695912196,Vikram,Nair,vikram.nair714@gmail.com,+918269829408,3085 4143 7888,VMVXF5930M,1953-11-16,"24/89
Cherian Marg",Kolkata,Uttar Pradesh,974224,India,"Solicitor, Scotland",303405,Divorced,Graduate,657,401382.56,no,no,no,PENDING,SALARY,2019-07-23,2026-02-05
IND000018,4160930353,Sneha,Joshi,sneha.joshi675@gmail.com,+917364194056,5649 9445 6491,CYHVJ4680Z,1972-04-16,"87
Dasgupta Zila",Ahmedabad,Telangana,254511,India,Equality and diversity officer,504895,Single,12th,793,591837.67,yes,no,no,VERIFIED,SALARY,2017-03-23,2026-02-06
IND000019,2716495971,Kavita,Verma,kavita.verma152@gmail.com,+919817747689,1090 2746 7965,HFZWQ8611B,1946-07-27,"30/10, Bandi Ganj",Ahmedabad,Uttar Pradesh,361303,India,Ambulance person,1318029,Widowed,12th,787,650956.62,no,no,no,PENDING,SAVINGS,2021-10-04,2026-01-24
IND000020,7228002201,Kavita,Agarwal,kavita.agarwal770@gmail.com,+918061886576,5543 9540 8939,UHIOC5681H,1980-02-16,"H.No. 73, Bhatti Circle",Ahmedabad,Tamil Nadu,452161,India,"Teacher, English as a foreign language",2981918,Single,12th,627,192824.55,yes,yes,yes,PENDING,CURRENT,2025-12-09,2026-02-12
IND000021,2785736751,Anjali,Joshi,anjali.joshi212@gmail.com,+918804502687,7381 1320 7232,PALJY7389N,1961-09-03,"31
Sahni Zila",Ahmedabad,Uttar Pradesh,883826,India,Plant breeder/geneticist,4881289,Married,Post Graduate,662,236582.08,no,yes,no,VERIFIED,SALARY,2022-03-01,2026-02-10
IND000022,4110335359,Rajesh,Desai,rajesh.desai861@gmail.com,+919007425404,3091 9751 1441,MSSVA2375U,1973-02-11,"01/065
Dash Zila",Kolkata,West Bengal,242291,India,"Engineer, agricultural",4173007,Married,10th,683,348059.06,yes,no,no,VERIFIED,CURRENT,2019-05-16,2026-02-16
IND000023,5646751885,Vikram,Desai,vikram.desai20@gmail.com,+919316787198,1853 6733 4673,UCYUB1508H,1975-09-01,"24, Dash Chowk",Kolkata,Telangana,979995,India,Call centre manager,470959,Married,12th,614,447239.11,yes,yes,no,VERIFIED,CURRENT,2023-09-04,2026-02-16
IND000024,4085320828,Amit,Mehta,amit.mehta797@gmail.com,+917703368777,6096 2771 1420,JSVMM4249C,1951-10-20,"80/132, Kibe Marg",Lucknow,Telangana,206851,India,Quarry manager,2829858,Single,Professional,571,314563.95,no,no,yes,VERIFIED,SAVINGS,2019-10-10,2026-02-09
IND000025,5748253283,Deepika,Verma,deepika.verma984@gmail.com,+918555585773,8532 3506 8135,FXQUI9817Y,2006-07-20,"606, Srinivasan Road",Ahmedabad,Rajasthan,587455,India,"Programme researcher, broadcasting/film/video",3953863,Divorced,Graduate,675,822267.57,yes,no,no,VERIFIED,CURRENT,2020-12-27,2026-02-10
IND000026,2444812497,Neha,Mehta,neha.mehta507@gmail.com,+918395925222,3979 8988 4475,LZIKI5526R,1992-07-16,"343
Mann Nagar",Kolkata,Maharashtra,641722,India,Special effects artist,1902697,Single,12th,758,463006.74,yes,no,no,PENDING,SAVINGS,2017-03-04,2026-02-05
IND000027,6339955011,Priya,Reddy,priya.reddy680@gmail.com,+919497762234,7046 8753 9698,LNXRK6764W,1949-01-10,"78/82, Kumar Nagar",Hyderabad,Rajasthan,384076,India,Catering manager,2872140,Divorced,12th,611,707348.55,no,yes,yes,VERIFIED,SAVINGS,2019-04-19,2026-01-24
IND000028,6128695961,Kavita,Iyer,kavita.iyer233@gmail.com,+918549972386,3939 5952 1231,WREIB1893R,1985-08-18,"36/193, Rajan",Chennai,Tamil Nadu,831295,India,Archaeologist,1359309,Widowed,10th,556,552767.43,no,no,no,VERIFIED,SAVINGS,2017-07-13,2026-02-10
IND000029,5575615203,Rahul,Reddy,rahul.reddy504@gmail.com,+917318180503,1878 3485 3444,ZSJCH2940R,1989-11-15,"H.No. 35
Deo Ganj",Ahmedabad,West Bengal,735770,India,Occupational hygienist,2193200,Widowed,Post Graduate,776,262220.79,no,no,yes,VERIFIED,SAVINGS,2018-05-13,2026-02-04
IND000030,3836517266,Rajesh,Singh,rajesh.singh161@gmail.com,+918030213097,3847 2229 3564,ANOWT8699J,1976-04-02,"H.No. 079
Bedi",Chennai,Maharashtra,342720,India,"Buyer, retail",2716798,Divorced,Post Graduate,586,671754.17,no,yes,no,VERIFIED,SALARY,2025-04-13,2026-01-31
IND000031,9196564761,Sneha,Nair,sneha.nair847@gmail.com,+917610900200,2169 1977 3718,ZJTXS5728O,1979-07-25,"513
Dhar Path",Bangalore,Delhi,591465,India,"Designer, industrial/product",2850901,Widowed,Graduate,806,516980.64,no,yes,yes,PENDING,SALARY,2023-08-04,2026-02-16
